RBP ,Motif ID
RBMY1A1,M247_0.6
RBMY1A1,1052_17318228
RBMY1A1,1053_17318228
RBMY1B,M246_0.6
RBMY1B,M247_0.6
RBMY1B,M344_0.6
RBMY1B,922_19282290
RBMY1B,1052_17318228
RBMY1B,1053_17318228
RBMY1D,M246_0.6
RBMY1D,M247_0.6
RBMY1D,M344_0.6
RBMY1D,922_19282290
RBMY1D,1052_17318228
RBMY1D,1053_17318228
RBMY1E,M246_0.6
RBMY1E,M247_0.6
RBMY1E,M344_0.6
RBMY1E,922_19282290
RBMY1E,1052_17318228
RBMY1E,1053_17318228
RBMY1F,M246_0.6
RBMY1F,M247_0.6
RBMY1F,M344_0.6
RBMY1F,922_19282290
RBMY1F,1052_17318228
RBMY1F,1053_17318228
RBMY1J,M246_0.6
RBMY1J,M247_0.6
RBMY1J,M344_0.6
RBMY1J,922_19282290
RBMY1J,1052_17318228
RBMY1J,1053_17318228
ROD1,M227_0.6
ROD1,M228_0.6
ROD1,M303_0.6
ROD1,46_9214659
SAMD4A,M061_0.6
SAMD4B,M061_0.6
sap-49,145_9163526
sap-49,M261_0.6
SART3,M062_0.6
SF3B4,M195_0.6
SF3B4,M201_0.6
SF3B4,M205_0.6
SF3B4,M261_0.6
SF3B4,145_9163526
SFPQ,M168_0.6
SFPQ,M308_0.6
SFPQ,489_12403470
SFRS1,1173_19561594
SFRS1,242_7543047
SFRS1,952_7543047
SFRS1,243_7543047
SFRS1,M272_0.6
SFRS1,M273_0.6
SFRS1,M351_0.6
SFRS13A,M019_0.6
SFRS13A,M086_0.6
SFRS13A,M087_0.6
SFRS13A,M088_0.6
SFRS13A,1169_19561594
SFRS2,791_10094314
SFRS2,244_7543047
SFRS2,953_7543047
SFRS2,M332_0.6
SFRS2,M274_0.6
SFRS2,M352_0.6
SFRS7,954_10094314
SFRS7,790_10094314
SFRS7,M331_0.6
SFRS7,M353_0.6
SFRS9,797_17548433
SFRS9,M333_0.6
SNRNP70,M068_0.6
SNRPA,M069_0.6
SNRPA,M317_0.6
SNRPA,M318_0.6
SNRPA,M319_0.6
SNRPA,M345_0.6
SNRPA,M346_0.6
SNRPA,M347_0.6
SNRPA,M348_0.6
SNRPA,661_1717938
SNRPA,662_1717938
SNRPA,663_1717938
SNRPA,946_10094314
SNRPA,947_10094314
SNRPA,948_10094314
SNRPA,949_10094314
SNRPA,1175_19561594
SNRPB2,M069_0.6
SNRPB2,M136_0.6
SNRPB2,M317_0.6
